way_id,name,ref_name
349571527,Calle Carril de Las Morillas,NA
190231599,NA,NA
256407596,Avenida Plutarco,NA
139790162,NA,NA
139790161,NA,NA
190289632,NA,NA
190231593,NA,NA
190296203,NA,NA
190231597,NA,NA
190231596,NA,NA
190231595,NA,NA
190231594,NA,NA
332054993,Calle Sófocles,NA
349802743,Calle Francisco Agudo Gómez,NA
349802750,Calle Matías Rubio,NA
74484407,Calle Esquilo,NA
190336820,NA,NA
139015369,Calle Pepita Durán,NA
139015368,Calle Pedro de Mora,NA
74484401,Avenida de José Rivera,NA
139015364,Calle La Sonata,NA
190845229,NA,NA
139015362,Calle Juan Villarrazo,NA
139015361,Calle Juan Juliani,NA
139015360,Calle José Ramos Guillén,NA
35792271,NA,NA
232209241,Calle de Franz Kafka,NA
357765450,NA,NA
349571570,Calle Manuel Amaro,NA
190326718,NA,NA
190326719,NA,NA
31982120,Calle Andrés Bernáldez,NA
35778449,Avenida del Doctor Manuel Domínguez,NA
35778601,NA,NA
70930784,Plaza de Willy Brandt,NA
31982121,Calle Charles Dickens,NA
190326716,NA,NA
190326717,NA,NA
70930781,Calle Juan Villarrazo,NA
35778837,Avenida de José Rivera,NA
349828725,Calle La Sonata,NA
136116946,NA,NA
317149959,Calle Andrés Bernáldez,NA
136116944,NA,NA
136116945,NA,NA
136116942,NA,NA
136116943,NA,NA
136116941,NA,NA
139015370,Calle Pepita Durán,NA
139015372,Calle Sebastián Valderrama,NA
35778571,Avenida del Doctor Manuel Domínguez,NA
357759108,Plaza de Willy Brandt,NA
190236846,NA,NA
139015376,NA,NA
338683805,NA,NA
357759106,Plaza de Willy Brandt,NA
190845227,NA,NA
357759100,Plaza de Willy Brandt,NA
35778371,Bulevar Louis Pasteur,NA
190303139,NA,NA
190303138,NA,NA
31982116,Calle Antonio Raiz,NA
35778376,NA,NA
190236849,NA,NA
190343410,NA,NA
190343413,NA,NA
190303137,NA,NA
190303136,NA,NA
190303135,NA,NA
190343417,NA,NA
139790152,Calle Juan Margarit,NA
139015388,Calle francisco Barbín,NA
190326726,NA,NA
190326725,NA,NA
190326724,NA,NA
190326723,NA,NA
190326722,NA,NA
190326721,NA,NA
190326720,NA,NA
359096934,NA,NA
98870445,Avenida Diego Fernández de Mendoza,NA
98870446,Avenida Diego Fernández de Mendoza,NA
35787843,Avenida Plutarco,NA
98870442,Avenida del Doctor Manuel Domínguez,NA
376073638,NA,NA
98870449,Calle carmen Laforet,NA
139790157,Calle Tomás Hermoso,NA
36072992,Avenida del Doctor Manuel Domínguez,NA
190845217,NA,NA
52146018,Avenida Plutarco,NA
190303142,NA,NA
190324872,NA,NA
190288755,NA,NA
190288757,NA,NA
190303143,NA,NA
190288758,NA,NA
89668380,Calle Demóstenes,NA
190303141,NA,NA
256543662,Calle Miguel Carrera,NA
35778628,Avenida Plutarco,NA
190293888,NA,NA
190247844,NA,NA
190247845,NA,NA
190303140,NA,NA
35778625,Avenida Plutarco,NA
139015392,NA,NA
139015393,Calle Manuel María Care,NA
190303144,NA,NA
190303145,NA,NA
77604837,Calle Arturo Toscanini,NA
363139656,NA,NA
35792507,Calle Andrómeda,NA
195495851,NA,NA
77604833,Calle Iordano Bruno,NA
35792746,Calle Andrómeda,NA
195495850,NA,NA
195821806,Calle León Tolstoi,NA
199419588,Calle Jiménez Fraud,NA
190348070,NA,NA
35792627,Calle Antígona,NA
35792938,Calle Jano,NA
83523976,Avenida Jorge Luis Borges,NA
35788623,Avenida Parménides,NA
199419586,Bulevar Louis Pasteur,NA
190297885,NA,NA
349707265,Calle Doctor Miguel Diaz Recio,NA
232216140,Calle Maestro Jiménez,NA
366534086,Carril de Las Morillas,NA
190324868,NA,NA
232216143,Calle Andrés Bernáldez,NA
190297888,NA,NA
349707268,Calle Miguel Carrera,NA
35824705,Bulevar Louis Pasteur,NA
35778693,NA,NA
31982122,Callo Pablo Bruna,NA
35778433,Avenida del Doctor Manuel Domínguez,NA
195495845,NA,NA
195495846,NA,NA
349571520,Calle Andrés Bernáldez,NA
195495848,NA,NA
195495849,Calle Jiménez Fraud,NA
357765452,NA,NA
190348069,NA,NA
35778940,Avenida de José Rivera,NA
35789574,Calle Demóstenes,NA
150089002,Avenida Jorge Luis Borges,NA
150088994,Calle Albert Einstein,NA
190336822,NA,NA
53269122,Calle León Tolstoi,NA
190246959,NA,NA
190246958,NA,NA
190358872,NA,NA
190845231,NA,NA
190236850,NA,NA
